HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Star Rating for health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety",Star Rating for how patients rated overall care from agency
4.0,4.0,3.0,4.0,4.0
5.0,5.0,5.0,5.0,5.0
4.0,4.0,3.0,4.0,3.0
4.0,4.0,4.0,5.0,4.0
4.0,4.0,4.0,4.0,4.0
4.0,5.0,4.0,4.0,4.0
4.0,4.0,3.0,4.0,3.0
3.0,4.0,2.0,3.0,4.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,3.0,4.0,4.0
4.0,3.0,3.0,4.0,4.0
3.0,3.0,3.0,3.0,2.0
5.0,5.0,5.0,5.0,4.0
3.71,3.74,3.36,3.8,3.49
3.0,3.0,3.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.0,3.0,4.0,4.0,3.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0
3.71,3.74,3.36,3.8,3.49
4.0,4.0,3.0,5.0,3.0
4.0,5.0,4.0,4.0,4.0
5.0,5.0,5.0,5.0,5.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,5.0,4.0
5.0,4.0,4.0,5.0,5.0
5.0,5.0,5.0,5.0,5.0
4.0,4.0,4.0,5.0,4.0
3.0,3.0,3.0,4.0,3.0
4.0,4.0,4.0,4.0,3.0
4.0,4.0,3.0,4.0,3.0
5.0,5.0,5.0,5.0,4.0
5.0,5.0,4.0,5.0,5.0
4.0,4.0,4.0,4.0,4.0
5.0,5.0,4.0,5.0,4.0
4.0,3.0,3.0,5.0,5.0
4.0,5.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
3.0,4.0,3.0,4.0,2.0
4.0,4.0,4.0,4.0,3.0
5.0,5.0,5.0,5.0,4.0
4.0,4.0,4.0,5.0,4.0
3.71,3.74,3.36,3.8,3.49
5.0,5.0,5.0,5.0,5.0
3.71,3.74,3.36,3.8,3.49
5.0,5.0,5.0,5.0,4.0
3.71,3.74,3.36,3.8,3.49
5.0,5.0,4.0,5.0,5.0
4.0,4.0,3.0,4.0,3.0
4.0,5.0,4.0,4.0,3.0
4.0,4.0,4.0,4.0,3.0
4.0,4.0,3.0,4.0,4.0
5.0,5.0,5.0,4.0,5.0
4.0,4.0,4.0,5.0,4.0
5.0,5.0,4.0,5.0,4.0
4.0,5.0,3.0,4.0,4.0
4.0,5.0,4.0,4.0,3.0
5.0,5.0,4.0,5.0,4.0
5.0,5.0,4.0,5.0,4.0
3.0,3.0,3.0,3.0,2.0
3.71,3.74,3.36,3.8,3.49
4.0,4.0,3.0,5.0,3.0
5.0,4.0,4.0,5.0,5.0
4.0,4.0,4.0,5.0,4.0
3.71,3.74,3.36,3.8,3.49
5.0,5.0,5.0,5.0,4.0
4.0,4.0,3.0,4.0,3.0
4.0,4.0,3.0,4.0,4.0
4.0,4.0,4.0,5.0,4.0
5.0,4.0,4.0,5.0,5.0
4.0,4.0,4.0,4.0,4.0
3.0,4.0,3.0,3.0,3.0
3.0,3.0,3.0,4.0,3.0
4.0,4.0,4.0,4.0,3.0
4.0,4.0,4.0,5.0,4.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
3.0,3.0,3.0,4.0,2.0
4.0,4.0,4.0,5.0,4.0
4.0,4.0,4.0,4.0,4.0
